Totaal,Handsoorten,,"Terug-
vangst",Landen,,Kleurring,Locaties,Vangmethoden,Aantal zelf geringd,,,,,
,80,,,4,,5,8,8,,21,uniek,71,5,21
3739,,,942,,,200,,,1718,76,door mij,1718,91,76
Datum,Soort,"Nieuwe
projectsoort","Terug-
vangst",Buitenland,Ringnummer,Kleurring,Locatie,Vangmethode,Ringer,"Zoönose
door mij",Bijzonderheid,Ringsoorten,Kleurring,Zoönose
,,,j,land,,kleurcode,,,,j,,,,
23-06-2021,Zwartkop,28,,,BL92885,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zwartkop,,
23-06-2021,Zwartkop,29,,,BL92888,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
23-06-2021,Zwartkop,30,,,BL92890,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zwartkop,,
18-07-2021,Pimpelmees,13,,,BL92916,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Pimpelmees,,
18-07-2021,Gekraagde Roodstaart,2,,,BL92917,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Gekraagde Roodstaart,,
18-07-2021,Grasmus,14,,,BL92918,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Grasmus,,
18-07-2021,Tjiftjaf,11,,,ARX505,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Tjiftjaf,,
18-07-2021,Glanskop,1,,,BL92927,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Glanskop,,
18-07-2021,Boompieper,1,,,BL92926,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
18-07-2021,Grote Bonte Specht,1,,,L588716,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
18-07-2021,Zanglijster,9,j,,L588644,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zanglijster,,
18-07-2021,Tjiftjaf,12,,,ARX506,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
18-07-2021,Tjiftjaf,13,,,ARX507,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Tjiftjaf,,
18-07-2021,Roodborst,14,j,,BL92901,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Roodborst,,
18-07-2021,Tjiftjaf,14,,,ARX508,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
18-07-2021,Roodborst,15,j,,BL928903,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Roodborst,,
18-07-2021,Tjiftjaf,15,j,,ARX469,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
18-07-2021,Roodborst,16,j,,BL928903,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Roodborst,,
18-07-2021,Roodborst,17,,,BL92924,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Roodborst,,
18-07-2021,Koolmees,23,j,,BL92783,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
18-07-2021,Zwartkop,31,,,BL92919,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
18-07-2021,Zwartkop,32,,,BL92920,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zwartkop,,
18-07-2021,Zwartkop,33,,,BL92921,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
18-07-2021,Zwartkop,34,,,BL92922,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zwartkop,,
18-07-2021,Zwartkop,35,,,BL92923,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zwartkop,,
18-07-2021,Zwartkop,36,,,BL92925,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zwartkop,,
18-07-2021,Zwartkop,37,,,BL92928,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,,Zwartkop,,
10-08-2021,Knobbelzwaan,1,,,RK38,W(Y042)/M,"De Haar, Utrecht",Hand,Thijs ter Avest,,,Knobbelzwaan,Knobbelzwaan,
10-08-2021,Knobbelzwaan,2,,,RK37,W(Y041)/M,"De Haar, Utrecht",Hand,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,3,,,RK36,W(Y176)/M,"De Haar, Utrecht",Hand,Erik Hulshof,,,,,
10-08-2021,Knobbelzwaan,4,,,RK39,W(Y043)/M,"De Haar, Utrecht",Hand,Marcel,,,,,
10-08-2021,Knobbelzwaan,5,,,RK40,W(Y044)/M,"De Haar, Utrecht",Hand,Suzanne Sterken,,,,,
10-08-2021,Knobbelzwaan,6,,,9503987,W(Y183)/M,"De Haar, Utrecht",Hand,Erik Hulshof,,,,,
